"Topics","Breadth_SD","Depth_SD"
2,0.00350983655524901,0.00806241034512918
3,0.0717092522966258,0.0527825731547862
4,0.0175069938281373,0.0141864036639869
5,0.0869434234764035,0.0823902121463814
6,0.128912496144893,0.111699932860817
7,0.161522544711003,0.143697873350957
8,0.154941200320018,0.151585240935127
9,0.166329030320235,0.174566522639601
10,0.179118137178902,0.194798643443536
11,0.206883301533068,0.198199750194913
12,0.213531192174115,0.212643390173458
13,0.240150678666408,0.23395152658578
14,0.249440646507287,0.241120896094061
15,0.284061743055354,0.268228954937501
16,0.320809460592454,0.289560122937987
17,0.339149464231905,0.31023573182485
18,0.362059903416398,0.328796400090017
19,0.359078312953534,0.330981134886472
20,0.353641097042529,0.334754189223395
