"Topics","Breadth_SD","Depth_SD"
2,0.000787618415969957,0.00626959936845596
3,0.0032321083783621,0.00288045692069157
4,0.00443674357975503,0.00444850477469129
5,0.00589110750318064,0.00570875855921631
6,0.00829220822325815,0.00776648698366798
7,0.0172352038729047,0.0153343278675719
8,0.0260828844105896,0.0245256760889647
9,0.0408999236510915,0.0385591722704506
10,0.0634797943091703,0.0613109364616756
11,0.0774726502814759,0.0748242530924788
12,0.0981446695668753,0.0955640294255403
13,0.115501246111865,0.113630486245946
14,0.132525331961106,0.133133637277891
15,0.146076369304043,0.147874786312514
16,0.148896743992665,0.151797057767739
17,0.161072537166374,0.162337789607839
18,0.177419795558477,0.178448675220682
19,0.190949419325151,0.190208909268526
20,0.206943069244133,0.207530448215821
