X,Unnamed..0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation.of.star.ratings,FOG.Index,Flesch.Reading.Ease,Depth,Breadth,sentiment_score_continuous,sentiment_score_discrete,valence,arousal
0,0,tavistock,We have stayed here often and it is ideal Location great for walking to and from kings Cross or getting the tube from Russell Square Plenty of places to eat nearby,2024-06-12,9.0,7.7,5932,0,0,Will continue to stay here whenever we visit London,3,8.7,7.6,8.2,8.0,7.5,9.1,2024-12-02,9,31,173,1.3,13.69,65.39,3.30524954999894,0.0183397260656376,4.616,5,0.4791727626465739,-0.09571447209773844
1,1,stgileshotel,"Its in a very convenient location, my mom whos in her early 60s and I first time in London and we loved this hotel, staff are super friendly and helpfulWe had to wait the elevator for sometimes but it didnt take long so not a big issue",2024-11-27,10.0,7.0,14989,0,0,Cozy and comfortable,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,3,47,5,3.0,22.2,40.69,2.85289839256362,0.407228794832759,4.387,4,0.20622163222324513,0.2318008519743228
2,2,montanahotel,The staff were friendlyThe very small bathroom,2024-05-30,6.0,7.8,6248,0,0,We were on the 3rd floor  were not told prior to booking in the lift did not work The bathroom was very small amp,3,9.0,7.7,8.2,8.2,8.0,9.4,2024-12-16,24,7,200,1.8,2.8,89.75,3.30818786013304,0.015121112419484,3.772,4,0.1809705825125347,-0.2240941160947595
3,3,z-trafalgar,"Good location, was a 10 minute walk from the theatre 
Clean, functional  certainly adequate for one night
Staff were very helpful and friendly, we were made to feel like nothing was too much troubleNA",2024-09-29,8.0,8.4,13923,0,0,Good functional hotel in great location,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02,6,34,64,0.4,18.31,53.89,3.3075223654101,0.0146338329664489,4.259,4,0.4106731134056313,0.05039239662997161
4,4,blakemore,You hear a lot of noise from the other room doors and rooms,2023-11-10,7.0,8.3,12340,0,1,Great stay in a clean and tidy hotel,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,8,13,388,1.3,5.2,100.58,3.24459107729116,0.053563200744026,3.388,4,0.19677494398084622,-0.15044350028715173
5,5,express-hammersmith,"Great location, 2 underground stations in a walking distance 7 minutes direct connections to all most popular London atractions
Great pricevalue relationship
Room was cleaned every dayLack of storage space in the room family room is relatively small and because there is no cabinet or even drawer it was difficult to keep it tidy",2023-02-19,8.0,8.0,8003,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,2,54,652,0.0,27.53,16.67,3.29913434510393,0.0209505038447317,4.263,4,0.08746310411920608,-0.23289642832166044
6,6,safestay,the location was excellent right by lots of restaurants and relatively close to the city centerit was completely filthy trash everywhere and the bathrooms were not well kept,2022-07-10,3.0,7.1,7703,0,0,i spent as little time as possible at the hostel,4,7.5,7.3,7.5,7.4,7.7,8.2,2024-12-02,10,28,876,4.1,18.34,51.52,3.2879483943636,0.0354765085351529,2.114,1,0.035361856320731605,-0.19214962945327177
7,7,alexandra-hotel,"The location, centrally located
Very clean rooms and facilitiesBed was uncomfortable, room was uncharacteristically warm for November and heating wasnt on, not a lot of breakfast options Street noise",2023-11-18,7.0,7.0,6404,0,0,Good,3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02,1,29,380,0.0,19.88,16.66,3.28330222412143,0.0428058416775012,3.474,4,-0.15398875774050202,-0.18038462896132326
8,8,express-hammersmith,Thanks Menino for your efficient help,2024-10-16,8.0,8.0,8005,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,2,6,47,0.0,9.07,73.85,3.29058226066722,0.0154806173511494,4.487,5,0.6348590893668337,-0.00022534784253705042
9,9,crestfieldhotel,The location was perfect for us as we had an early eurostar train to catch so an easy short walk to the stationIt was all good for a short break,2022-05-08,9.0,7.8,6515,0,0,I would come to this hotel again,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,7,30,939,1.2,14.67,74.87,3.31037028137412,0.0059950781073366,4.432,5,0.504433519955794,-0.13011106936510958
10,10,thistletower,"Comfortable bed, like sleeping on a cloud Very clean Location was fantastic Im not one to complain, but at checkin, I really struggled to understand the desk clerk because of the heavy accent The same was true for the breakfast staff the next morningvery, very difficult to understand 
 I ordered a mediumrare steak for my dinner, but it was quite tough For 26, I would expect a highend hotel to serve a nice steak It may have been a oneoff, but that was my experience",2022-10-16,7.0,7.7,20956,1,0,Perfect location with beds like clouds,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,6,85,778,0.7,36.82,2.12,3.30592629078284,0.002693951966962,4.039,4,-0.036522083361297086,0.04755472971420202
11,11,windsorhousehotel,Bed was super comfortable and the bathroom was lovelyLighting was confusing,2022-04-22,8.0,8.0,6335,0,0,Very good,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02,2,11,955,0.0,15.31,43.39,3.30545060618305,0.0186705159341793,4.214,4,-0.010880251922765448,-0.058429953779291256
12,12,zedwell-trocaderor,Exactly what it looks like in photosClub noise heard nearer the lower floors Defintely ask for a room nearer the top of the building,2023-05-11,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,1,24,571,0.4,14.6,64.04,3.25466659200209,0.0452498106388284,4.348,5,0.031113709463148273,0.08879794271035828
