Latent,Structure,platform,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,33,45,25084.514984494494,0.0,126583.5935197686,0.8020247081331688,0.8018343903266023,0.729774168627185,0.8018343903266023,0.7300336929088667,0.09209558377645313,43.43948349288879,250.2845784026232,0.28025825355560574
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,34,45,26375.135652462195,0.0,126583.5935197686,0.7918331876484226,0.7916385929718199,0.7242275495215265,0.79163859297182,0.7244851012993829,0.093037186067343,41.41064441869254,238.85368955980263,0.294677790653731
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,34,45,25086.63280154283,0.0,126583.5935197686,0.8020158743298427,0.8018176597457313,0.7376998437811149,0.8018176597457313,0.737962186613027,0.0907331535497716,41.43943617001189,238.882481311122,0.2802819149940543
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,33,45,25084.560828147387,0.0,126583.5935197686,0.8020243458432808,0.801834028165507,0.7297736747711459,0.801834028165507,0.7300331988772011,0.09209566804273496,43.439482468506846,250.28457737824124,0.28025876574657715
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,33,45,25084.770365880006,0.0,126583.5935197686,0.8020226899237166,0.8018323728346162,0.7297714175017493,0.8018323728346162,0.7300309408050681,0.09209605319792043,43.43947778636098,250.28457269609538,0.28026110681950733
Valence O,Helpfulness ~ Systematic,hotel,34,45,26375.193874336448,0.0,126583.5935197686,0.7918327275368264,0.7916381330237917,0.7242269407667832,0.7916381330237917,0.7244844923281526,0.09303728888744207,41.41064311771775,238.85368825882784,0.2946784411411256
Valence O,Helpfulness ~ Heuristic,hotel,34,45,25087.6583811302,0.0,126583.5935197686,0.8020077694540191,0.801809557751161,0.7376891205530072,0.8018095577511611,0.7379514595714958,0.0907350107022433,41.43941325331255,238.88245839442266,0.28029337334372606
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,33,45,15376.289371807528,0.0,116092.11788321927,0.8677839686872033,0.8675509616658469,0.8193876749988821,0.8675509616658469,0.8197054118461863,0.07207440165020611,43.656414962922575,250.50150987265698,0.17179251853871325
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,34,45,16676.45968872634,0.0,116092.11788321927,0.856588771937671,0.8563514905852461,0.8098769728334139,0.8563514905852461,0.8101910216822116,0.07395168535139394,41.627362500670884,239.07040764178097,0.18631874966455886
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,34,45,15376.26667613354,0.0,116092.11788321927,0.8677927814495764,0.8675511571629608,0.8247000609509776,0.8675511571629607,0.8250198578009099,0.07100420722002951,41.65641547006014,239.09946061117026,0.1717922649699295
