Latent,Structure,platform,lval,op,rval,Estimate,Std. Error,z-value,p-value
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Text_Length,~,Heuristic,5.771990204160624,0.17469083887614295,33.04117285864066,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.7667586955557114,0.024042472362602218,31.891840571126277,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Is_Photo,~,Heuristic,0.6366334726501156,0.022673990036185854,28.077699231852108,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Depth,~,Systematic,8.38180888870417,0.3192843655676689,26.25186132673785,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Breadth,~,Systematic,-9.935327582161952,0.3792369919606009,-26.198202687906406,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Arousal,~,Systematic,2.289979761740358,0.09460113633057259,24.20668345583171,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Valence_abs,~,Systematic,-0.3461461248201514,0.01636688672349277,-21.14917336735456,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Helpfulness,~,Heuristic,0.18330497291774822,0.006346292391467651,28.883789397304007,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Helpfulness,~,Systematic,0.01286610540131013,0.011453420413365115,1.1233417560725525,0.2612923761205961
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Heuristic,~~,Heuristic,0.030010733513889935,0.001349475678466381,22.238810206462546,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Heuristic,~~,Systematic,0.008134235821618164,0.0004004884457705408,20.310787707388375,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Systematic,~~,Systematic,0.00866362490575102,0.0006595356909280611,13.135945501939574,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Arousal,~~,Arousal,0.9543842479281813,0.004540408621916141,210.19787582801624,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Breadth,~~,Breadth,0.14497144014409194,0.004134713103795233,35.06203126305458,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Depth,~~,Depth,0.3910890631018032,0.0034480685904778826,113.4226459613954,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Deviation_Of_Star_Ratings,~~,Deviation_Of_Star_Ratings,0.9822426039312221,0.004661682917215686,210.70558018716275,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Flesch_Reading_Ease,~~,Flesch_Reading_Ease,0.9916473733705957,0.004692841681602317,211.31063872171762,0.0
