Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,Reviewer,Review Title,Link,Rating_Distribution,Rating_of_Performance,Rating_of_Story
"youve really gotta know where your towel is, and of course the answer to the ultimate question of Life, The Universe, Everything",02-21-22,5,4.6,55145,0,Wolfman Dan,one of the all time classics of human literature,https://www.audible.com/pd/The-Hitchhikers-Guide-to-the-Galaxy-Audiobook/B002VA9SWS,"40868,9576,3215,929,557","40758,5054,1135,232,192","34621,7996,3097,994,594"
"Theres a reason why Violas brilliance has been rightfully catapulted Her story is absolutely scary, harrowing and uplifting and hearing it all in her voice really gives you chills Love this autobiography",06-23-22,5,4.9,40545,0,Maisa Morrar,Chillingly Beautiful,https://www.audible.com/pd/Finding-Me-Audiobook/B09F4X96MC,"38678,1544,224,54,45","36158,822,83,28,34","34980,1634,227,59,38"
"Over hipped I was excited to start reading it I love YA, and YA regarding minorities But this was like reading fan fiction written by High School student dick in my mouth, you hard penis, boner against my leg, blow job, are just a few of the phases often used I had to take a break from this book numerous times Im not prude, I just didnt know that I signed up for a poorly written pornoThe narrator however, was great The write, has no writing talent",05-27-20,2,4.7,13092,0,BookTea,A waste of a credit,https://www.audible.com/pd/Red-White-Royal-Blue-Audiobook/B07HMJSJG5,"10200,1881,667,204,140","9107,1754,533,133,86","9075,1589,591,204,137"
Joe Morton is the best reader Ive had the pleasure of listening to The way he reads paints the picture of the characters emotionthe story may have went over my head unfortunately  at least the under lying message  or maybe I got it but I just dont know it interesting read nonetheless,03-19-17,4,4.2,8957,0,William,Joe Morton is definitely the best reader,https://www.audible.com/pd/Invisible-Man-Audiobook/B004GAN8H2,"5402,1766,795,393,601","6244,830,404,186,320","4564,1669,809,375,562"
This book details the history of human evolution from cave dwellers some 70K years ago to the present A nice listen performed well by the narrator,02-10-24,5,4.7,56033,0,Watsh Rajneesh,History of human evolution,https://www.audible.com/pd/Sapiens-Audiobook/B0741G911Q,"45042,7848,1980,631,532","39888,6212,1299,264,226","37827,6836,1827,538,540"
Captivating and loaded with history of slaves and owners with regard to their quest from the point of view of a woman Strong,01-12-17,4,4.4,16238,0,Cindy Baker,Well Done,https://www.audible.com/pd/The-Underground-Railroad-Television-Tie-in-Audiobook/B01J6CZQGA,"9780,4063,1727,432,236","10568,2842,826,183,107","8612,3520,1626,487,241"
"voices were amazing, I loved the story but way too short Bummed its over",09-13-22,4,4.6,8066,0,M&M Cox,Good but too short,https://www.audible.com/pd/Mrs-Wickham-Audiobook/B0BCX16G9N,"5753,1525,537,162,89","6154,846,254,65,52","5111,1411,516,171,111"
Very relatable and inspiring Perfect performance that feels like she is speaking directly to you,06-12-20,5,4.7,51395,0,Andreza Rio Branco,Inspiring,https://www.audible.com/pd/The-5-Second-Rule-Audiobook/B06VX22V89,"41486,5668,1993,1020,1228","36990,4507,1581,668,975","35034,5246,1985,908,1211"
I love that this book felt more like a conversation with Mel than just an audio book She reads her book with emotion and the stories within are inspirational Ive already started putting the 5 second rule to work Definitely recommend,04-02-24,5,4.7,51395,0,Rach,Life Changing,https://www.audible.com/pd/The-5-Second-Rule-Audiobook/B06VX22V89,"41486,5668,1993,1020,1228","36990,4507,1581,668,975","35034,5246,1985,908,1211"
We all know that grumpy person who is really soft on the inside I didnt want this book to end,10-28-20,5,4.8,19897,0,Jennifer,LOVED,https://www.audible.com/pd/A-Man-Called-Ove-Audiobook/1797108263,"17419,1861,440,98,79","16512,990,156,34,24","15388,1736,355,88,79"
This was a nice installment in the cannon Like the twist with the ai Gets right to the story not a lot of back story,08-31-23,4,4.8,1266,1,Dirk Kenny,"Good listen, solid story made for an easy ride home",https://www.audible.com/pd/Alien-Out-of-the-Shadows-Podcast/B08GC2361R,"1072,152,35,4,3","1091,102,10,4,1","949,185,54,7,7"
"My compliments to the reader The book is better than the movie as usual, there is so much more depth in the novel I felt connected to the characters and enjoyed hearing their thoughts I will certainly replay this one again and highly recommend it to others",12-05-19,5,4.9,13701,0,Donya Carter,Wonderful Listen,https://www.audible.com/pd/The-Hunger-Games-Special-Edition-Audiobook/B07HHH7L77,"12487,983,147,47,37","10551,907,202,51,71","10838,776,101,16,22"
"What a wonderful eye opener Very well written and spoken, and a true must read for everyone",09-25-18,5,4.8,45875,0,Wrifam,very moving,https://www.audible.com/pd/The-Hate-U-Give-Audiobook/B01NAGD7TV,"38215,5922,1240,276,222","36667,3855,831,145,134","34350,5452,1234,255,189"
"It started off with such a high concept and interesting ideas Then, somewhere along the line it sort of fell off Weir gets a little too sciencey for my tastes Like hes afraid of the comment section and someone calling him out so he shows his work Its predictable and too long It is interesting, for awhile though and Porter gives his typically great narration I wouldve preferred a way different ending",11-28-21,4,4.9,182379,0,Matt,"Great start, meh finish",https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K,"162833,15895,2619,672,360","156733,7989,1298,287,227","145112,16872,2818,763,416"
"a bit predictable at times, but I had fun really cool sound design great performances onion knight my guy",06-22-22,4,4.6,32079,0,blazedancer1997,fun read,https://www.audible.com/pd/Impact-Winter-Audiobook/B09PSLLWFG,"24113,5365,1681,516,404","24665,2983,762,233,230","21032,5108,1746,475,413"
"I loved listening to Michelle tell her story I laughed and cried what an amazing person, full of class and hope",05-05-19,5,4.9,181868,0,Holly,Michelle is an inspiration,https://www.audible.com/pd/Becoming-Audiobook/B07B3BCZ9S,"167358,11293,2099,526,592","150764,8445,1619,378,412","146729,11086,1957,499,466"
I often found myself forgetting that the author was writing about current day It is so powerful and beautiful Very enlightening for a white reader,08-14-20,5,4.8,31128,0,Christina Newland,Poetic and powerfully written,https://www.audible.com/pd/Between-the-World-and-Me-Audiobook/B010N1IC5A,"26434,3372,820,249,253","23558,2865,750,168,143","23229,2831,793,233,212"
"YoYo Mas gentle delivery, and exquisite music between museums, make this a very introspective listen Its all about connections This is his discovery of those connections And his thoughts on humanity Its really quite lovely",08-28-22,5,4.7,7753,0,LBC,Thought provoking,https://www.audible.com/pd/Beginners-Mind-Audiobook/B08ZYXLTYG,"6359,962,314,72,46","6078,444,112,25,12","5328,860,315,69,36"
Loved this book and highly recommend to all thank you Mel im so inspired and ready to try this everyday,08-01-17,5,4.7,51395,0,Barbara Wichlac,Amen,https://www.audible.com/pd/The-5-Second-Rule-Audiobook/B06VX22V89,"41486,5668,1993,1020,1228","36990,4507,1581,668,975","35034,5246,1985,908,1211"
"I bought this book from the blind date section, a mix match of stories, I was looking for something new and I found it I was trying to describe the book and was having a hard time, then suddenly it hit me this is a mixture of Californication and Dexter I hated the first chapter,maybe two, it took a little while to get used to the style of writing but suddenly everything clicked I couldnt stop listening I would arrive early to work so I could spend an extra 5 or 10 minutes in the parking lot listening, Id sit in the driveway or take the scenic route home just so I could listen sometimes Id feel bad for the main character and then suddenly hed do or say something crazy and Id remember hes the psychopath",02-22-17,5,4.4,20822,0,Ana,Better the expected,https://www.audible.com/pd/You-Audiobook/B00MTTGXSI,"12692,5065,1758,636,671","15508,2380,700,204,273","10962,4692,1947,680,748"
"This book took me on a journey, not one of my own but of my grandmothers and my fatherMy father was born in Paris in 1936and I heard the stories of how he was hidden in a monastery for almost a year This book makes me proud to be Jewish",04-14-20,5,4.8,101379,0,Dusty,Proud to be a Jew,https://www.audible.com/pd/The-Nightingale-Audiobook/B00NYBQKFQ,"88056,10560,1913,488,362","79759,9539,1759,409,288","79872,9093,1753,489,325"
