,Unnamed: 0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation of star ratings,FOG Index,Flesch Reading Ease,ContentDepth,ContentBreadth
0,0,tavistock,We have stayed here often and it is ideal Location great for walking to and from kings Cross or getting the tube from Russell Square Plenty of places to eat nearby,2024-06-12,9.0,7.7,5932,0,0,Will continue to stay here whenever we visit London,3,8.7,7.6,8.2,8.0,7.5,9.1,2024-12-02,9,31,173,1.2999999999999998,13.69,65.39,0.5176759700255801,1.9352041604481667
1,1,stgileshotel,"Its in a very convenient location, my mom whos in her early 60s and I first time in London and we loved this hotel, staff are super friendly and helpfulWe had to wait the elevator for sometimes but it didnt take long so not a big issue",2024-11-27,10.0,7.0,14989,0,0,Cozy and comfortable,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,3,47,5,3.0,22.2,40.69,1.3659244083795083,1.0463585419709227
2,2,montanahotel,The staff were friendlyThe very small bathroom,2024-05-30,6.0,7.8,6248,0,0,We were on the 3rd floor  were not told prior to booking in the lift did not work The bathroom was very small amp,3,9.0,7.7,8.2,8.2,8.0,9.4,2024-12-16,24,7,200,1.7999999999999998,2.8,89.75,1.250888409571337,1.2927628870602288
3,3,z-trafalgar,"Good location, was a 10 minute walk from the theatre 
Clean, functional  certainly adequate for one night
Staff were very helpful and friendly, we were made to feel like nothing was too much troubleNA",2024-09-29,8.0,8.4,13923,0,0,Good functional hotel in great location,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02,6,34,64,0.40000000000000036,18.31,53.89,0.466643068340862,0.9203394880889763
4,4,blakemore,You hear a lot of noise from the other room doors and rooms,2023-11-10,7.0,8.3,12340,0,1,Great stay in a clean and tidy hotel,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,8,13,388,1.3000000000000007,5.2,100.58,1.527434281221652,1.582295177664496
5,5,express-hammersmith,"Great location, 2 underground stations in a walking distance 7 minutes direct connections to all most popular London atractions
Great pricevalue relationship
Room was cleaned every dayLack of storage space in the room family room is relatively small and because there is no cabinet or even drawer it was difficult to keep it tidy",2023-02-19,8.0,8.0,8003,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,2,54,652,0.0,27.53,16.67,1.242786559358922,1.5475529022735715
6,6,safestay,the location was excellent right by lots of restaurants and relatively close to the city centerit was completely filthy trash everywhere and the bathrooms were not well kept,2022-07-10,3.0,7.1,7703,0,0,i spent as little time as possible at the hostel,4,7.5,7.3,7.5,7.4,7.7,8.2,2024-12-02,10,28,876,4.1,18.34,51.52,1.3641897553895688,0.989879441830451
7,7,alexandra-hotel,"The location, centrally located
Very clean rooms and facilitiesBed was uncomfortable, room was uncharacteristically warm for November and heating wasnt on, not a lot of breakfast options Street noise",2023-11-18,7.0,7.0,6404,0,0,Good,3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02,1,29,380,0.0,19.88,16.66,1.7722515116859558,0.7278988105975255
8,8,express-hammersmith,Thanks Menino for your efficient help,2024-10-16,8.0,8.0,8005,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,2,6,47,0.0,9.07,73.85,1.4825148453395196,2.67542910730664
9,9,crestfieldhotel,The location was perfect for us as we had an early eurostar train to catch so an easy short walk to the stationIt was all good for a short break,2022-05-08,9.0,7.8,6515,0,0,I would come to this hotel again,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,7,30,939,1.2000000000000002,14.67,74.87,0.6221025550581037,1.8686632638705838
10,10,thistletower,"Comfortable bed, like sleeping on a cloud Very clean Location was fantastic Im not one to complain, but at checkin, I really struggled to understand the desk clerk because of the heavy accent The same was true for the breakfast staff the next morningvery, very difficult to understand 
 I ordered a mediumrare steak for my dinner, but it was quite tough For 26, I would expect a highend hotel to serve a nice steak It may have been a oneoff, but that was my experience",2022-10-16,7.0,7.7,20956,1,0,Perfect location with beds like clouds,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,6,85,778,0.7000000000000002,36.82,2.12,0.30697841827116984,0.9971884686858703
11,11,windsorhousehotel,Bed was super comfortable and the bathroom was lovelyLighting was confusing,2022-04-22,8.0,8.0,6335,0,0,Very good,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02,2,11,955,0.0,15.31,43.39,1.0853972974372215,1.2285176370718276
12,12,zedwell-trocaderor,Exactly what it looks like in photosClub noise heard nearer the lower floors Defintely ask for a room nearer the top of the building,2023-05-11,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,1,24,571,0.40000000000000036,14.6,64.04,0.668008089137902,2.914565923995297
13,13,crestfieldhotel,"Convenience for St Pancras  early EurostarTiny tiny rooms, but did the job",2024-05-31,8.0,7.8,6515,0,0,Perfectly located for an early start on Eurostar,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,8,12,185,0.20000000000000018,8.13,76.22,1.6470976829623878,1.3988107321561192
14,14,blakemore,The property was wellmaintained and very clean the room was as described and well appointed We had daily housekeeping and dining room and bar were comfortable and relaxingOur room wouldnt cool when we first arrived but that was quickly corrected by staff Other than that I have nothing bad to say about the hotel,2024-10-24,9.0,8.3,12340,0,0,We would definitely stay here again and would certainly recommend it to friends and family traveling to London,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,18,54,39,0.6999999999999993,26.79,33.59,0.4074788265309962,2.4549459595942404
15,15,lancaster-gate,"LocationFood, Bed, Staff",2022-04-25,5.0,7.7,14445,0,1,"uncomfortable bed, dinner service was shocking I had finished my meal but my disabled mum was still eating, they come ov",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,21,3,952,2.7,14.53,34.59,1.8324014845598007,1.2506388604861303
16,16,royal-national,We have been several times and its comfortable,2023-11-21,9.0,7.5,9767,0,1,We loved it good area,3,8.3,7.5,8.0,7.9,7.3,8.9,2024-12-02,5,8,377,1.5,8.2,71.82,2.3700933084101403,0.7670134815709756
17,17,crestfieldhotel,"Comfy, friendly staffA lift is needed for upstairs room and to add bfast even if grab to go",2023-12-17,7.0,7.8,6515,0,0,Value for money,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,3,18,351,0.7999999999999998,7.2,87.05,1.2226042277964217,1.2711702157678246
18,18,marlin-waterloo,"I have never stayed in a terrible place before there is always a first time No parking place in front of hotel, lousy welcome, dirty receltion area, lift filthy, bad smell on 4th floor like entering the stinky kitchen of a chinese restaurant the bed was uncomfortable, bathroom semi clean, they clean the room every second day Gosh this is a disasterous place I cant believe I caused this on myself and my familyJust about everything",2022-11-20,1.0,8.1,10695,0,0,Disaster Catastrophy,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,2,76,743,7.1,33.03,11.26,0.28158378124608985,1.682392544775769
19,19,park-plaza-county-hall,"Very good hotel, spacious room with a great view Look forward to staying here again in future",2024-11-11,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,1,17,21,1.4000000000000004,6.8,79.6,0.6679555120863548,0.827753515639731
20,20,montcalm-chilworth-townhouse,Everything was perfect cant fault anything and the staff were amazing and very helpful Would 100 stay againNothing,2023-08-04,10.0,7.7,9205,0,0,Perfect location and great hotel and staff,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02,7,18,486,2.3,9.42,70.13,0.9611317819636055,0.7005751237935801
21,21,park-plaza-county-hall,The front desk staff were very nice and great with the kids The kids got little activity packs on arrival and got to choose out of a little surprise box which they loved Very clean and large rooms,2024-06-06,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,1,38,179,1.4000000000000004,16.25,66.75,1.3128930888008687,0.7147967832796212
