Rating,Review_Text,sentiment_score_continuous,sentiment_score_discrete,deviation,abs_deviation
1,"LocationStaff
Rooms",4.175,4,-3.175,3.175
1,Ac worked wellNo sheets on bed Noisy aggressive neighbors above,3.859,4,-2.859,2.859
1,"fast check in, manager is smart and nice to offer us the best option as available in the hotelthe hotel room itself is designed too small and overheated inside the room, the air conditioning doesnt make a comforting human temperature, no windows room can be changed, the small rooms are over priced, the room feels like a sauna room",3.702,4,-2.702,2.702
1,"Location  very good
Room  clean but too small bed for us and size was boxedallocated room better  very small bed for us and boxed room",3.496,4,-2.496,2.496
1,they didnt have the room that I booked and gave me a smaller room for one adult and 3 children,3.408,4,-2.408,2.408
1,Great location and lovely towelsBlinds in bedroom were decorative and not practical as they let light through Bathroom smelt like sewage Shower was either boiling hot or freezing cold and no power,3.339,4,-2.339,2.339
2,location and staffno safe box in the room No cameras in the corridors,4.288,4,-2.2880000000000003,2.2880000000000003
1,"Terrible Location , Service and attitude of staff beyond ridiculousAs above",3.231,4,-2.231,2.231
2,"The staff was amazing  The pool and fitness areas were good and had early opening hours The availability of the rooftop bar and restaurant on the first floor was a plus, with great bartenders, a good atmosphere, food, and drinks Links to everywhere in London were available just outside the hotel The NYC had complimentary newspapers as well  In general, the hotel has a great location and fun surrounding pubs and a few good restaurantsI had to ask for an upgrade from our first room as the 180x160 bed was too small for two adults After packing up again and changing rooms we discovered that the new room did not have hot water, and hardly any water pressure For the remaining three nights we were there we used the showers in the spa area, but still, I did ask for a reduction in the cost of the room Oh, and if you are planning to make use of the pool, take your own robe to this hotel The NYX only offers one size small",4.209,4,-2.2089999999999996,2.2089999999999996
1,Nothing noteworthyMost of the Staff are rude and they should be released so that it does not do more harm to the hotel,3.17,4,-2.17,2.17
2,"The location is amazing Right near the trains, lots of restaurants and shops Shower was great Staff were all very friendly and niceRoom wasnt very clean, especially the bathroom The mattress had prominent springs that were very noticeable when laying down",4.147,4,-2.1470000000000002,2.1470000000000002
4,location close to where we neededlifts waste of time not enough lifts every floor had 10 plus people waiting so 1015 mins wait for a lift  stairway not found sinuses fire exit but could leave as door had alarm in it nightmare,1.898,1,2.1020000000000003,2.1020000000000003
1,NothingThey gave a room I  4th floor without elevator or someone to carry my bags,3.095,4,-2.095,2.095
2,"Location, price and cleanliness were all goodThe bed was so uncomfortably hard and that is a fundamental problem when it is so core to the offering",4.032,4,-2.032,2.032
1,"1 Excellent front staff 
2 Refurbished rooms1 Housekeeping not done 
a Ironing board not stowed away made it very difficult to walk 
2 Used cups not put away 
3 Left over fast food not thrown 
3 Fridge not working",2.952,3,-1.952,1.952
1,Excellent locarion for Eurostar at St Pancras InternationalTerrible noise from room opposite my daughtwrs all night  until at 3am she had to get up  go to Reception  ask them to speak to the people in thqt room She only got 1 hours sleep  we had t9 be up at 5am Would not stay here again,2.904,4,-1.904,1.904
5,Location and qualityLifts very poor,3.104,3,1.896,1.896
