text_id,original_text,rating,word_1,similarity_1,valence_1,arousal_1,word_2,similarity_2,valence_2,arousal_2,word_3,similarity_3,valence_3,arousal_3,word_4,similarity_4,valence_4,arousal_4,word_5,similarity_5,valence_5,arousal_5
1,Are these used headsets?! They do not work! Sound goes in and out.,1.0,headset,0.61502105,0.204,-0.32,headphones,0.55854857,0.2,-0.286,speakerphone,0.42127296,0.062,0.138,earpiece,0.41724426,0.166,-0.428,headband,0.36555484,0.34,-0.062
2,"I bought Logitech M510 Wireless Computer Mouse in April 2021 after 6 months single clicks start to become double clicks, which is very annoying. New batteries didn't help, as of drivers updates. It's my third mouse and I ordered a different brand at this time. I would not recommend purchasing this one.",1.0,mouse,0.47560808,-0.146,-0.118,mousetrap,0.37055385,-0.64,0.286,clicker,0.3135698,-0.164,-0.02,squamous,0.29998544,-0.312,-0.108,click,0.29269448,0.072,-0.27
3,"Did I miss something I purchased this book because, of all the rave reviews, and after the first hour of listening knew I had made a mistake Even the fabulous Scott Brick couldnt help I did finish it, but in good concience cannot recommend it unless you have 14 hours to kill listening to long drawn out dialog from the two killers that snuffed out 4 peoples lives on a whim  I would rather have had listened to more about the victims, and their lives, then the low life killers that finally got what they deserved in the very end",1.0,massacre,0.42174175,-0.938,0.774,murderous,0.39777374,-0.966,0.88,thriller,0.3948514,-0.02,0.592,novel,0.3849049,0.404,-0.296,murderer,0.37876362,-0.98,0.92
4,I couldnt even finish the book  The main character is dull and not very likeable  I get the feeling that the author harbors some animosity toward men,1.0,novel,0.5246194,0.404,-0.296,novelist,0.48248354,-0.32,-0.314,literature,0.43185958,0.416,-0.5,literary,0.42932776,0.438,-0.352,storybook,0.40472004,0.708,-0.388
5,"The content is ok, but the grading is broken. SO broken that I find this course incredibly frustrating.
The instructions are not clear at times, some answers are mistyped but the worst part is grading expects your code to be written in a particular way, even if it produces the expected results. In programming, there is more than one solution to every problem. Combine that with the poorly written coding assessments and you have frustration beyond belief. 

I'd suggest that an urgent review be done on this course and its assessment. 
Otherwise, your better off doing your own self learning.",1.0,graded,0.45950884,0.124,-0.32,assessment,0.3902081,0.5,0.246,tutoring,0.37950665,0.326,-0.196,grade,0.37219512,0.396,-0.28,grades,0.36569414,0.042,-0.302
6,ok,1.0,fine,0.6240981,0.646,-0.52,cool,0.59543914,0.77,0.08,good,0.57614017,0.876,-0.264,sure,0.55130494,0.448,-0.46,excellent,0.5499098,0.94,0.174
7,"The room was fine and a good price for the facilitiesWe had entered into our special requirements that I was covid vulnerable  I was in London for an operation that was only possible if I didnt contract covid and the hotel replied that they were able to accommodate this but the kitchenette and bathroom were dirty, below par even for someone not actively trying to avoid covid There were urine stains on the toilet seat and hairs in the shower tray  not just missed around the plug hole but actually just all over the shower tray as though it hadnt even been swilled out let alone cleaned The kitchen cutlery and glasses were covered in finger prints so we soaked everything in boiling water before using anything Overall we didnt feel comfortable risking a second night there so we left even with no refund",1.0,sanitation,0.4403748,0.484,-0.376,rooms,0.43820384,0.354,-0.518,accommodation,0.42767397,0.634,-0.17,contamination,0.42333883,-0.75,0.22,hygiene,0.40905374,0.562,-0.426
8,"We stayed on a very hot day , which expected as it was summerafter booking and getting to the hotel we checked in and he then explained that the air conditioning in our room was broken We had no window in our room After complaining multiple times they offered us a refund of our room, however still havent received",1.0,hotel,0.3931379,0.48,-0.26,guesthouse,0.38081342,0.458,-0.326,refund,0.3792449,0.082,0.056,ventilation,0.37184408,0.438,-0.098,accommodation,0.37058383,0.634,-0.17
9,These headphones cause lag on my phone after a phone call. Happens with both pairs I bought. I have to unplug the headphones from the phone and re plug to fix. Annoying. These must be a known bad product and that's why they are on sale.,2.0,lag,0.5258872,-0.56,-0.25,lagging,0.5190531,-0.73,0.076,headphones,0.45070344,0.2,-0.286,headset,0.43904367,0.204,-0.32,slowness,0.41853297,-0.396,-0.576
10,I've now had 3 of these cables fail on me now. All 3 hadn't been used longer than a month before the end unexpectedly broke or the wires became exposed. I really like the cables but this is a huge disappointment!!!!,2.0,cable,0.48248824,0.166,-0.51,wiring,0.36112446,-0.02,-0.266,rewire,0.35066664,-0.27,-0.076,wired,0.32457596,-0.204,-0.16,coax,0.32173836,-0.266,-0.2
