,Unnamed: 0,product_name,Average_rating,Num_of_Rating,Review_Rating,review_title,Review_Text,Posted_Date,Helpfulness,has_images,price,time_lapsed,title_length,text_length,Deviation of star ratings,FOG Index,Flesch Reading Ease
0,0,"Energizer Rechargeable AA and AAA Battery Charger (Recharge Pro) with 4 AA NiMH Rechargeable Batteries, Auto-Safety Feature, Over-Charge Protection",4.7,62436,5,look very good,This is an excellent battery charger.,2022-11-08,0,0,11.39,149,3,6,0.3,9.07,56.93
1,1,"Fintie Rotating Case for iPad 6th / 5th Generation (2018 2017 Model, 9.7 inch), iPad Air 2 / iPad Air 1-360 Degree Rotating Protective Stand Cover Auto Sleep Wake, Composition Book",4.5,25873,3,Not the greatest quality,Fell apart at folding parts. Ink started coming off and I don?ôt even leave the house with it.,2020-01-18,0,0,13.99,1182,4,18,1.5,3.6,96.18
2,2,"Midland - WR120B - NOAA Emergency Weather Alert Radio - S.A.M.E. Localized Programming, Trilingual Display, 60+ Emergency Alerts, & Alarm Clock (WR120B - Box Packaging)",4.6,18908,5,This is the most comprehensive weather radio I have owned.,"This radio covers all types of natural weather or disaster issues you might encounter, and it allows you to detail how those issues will be communicated to you.  I have yet to be able to evaluate the battery life as I have only had it for a couple of weeks, but I received it a day before sever weather watches and warnings occurred in my community allowing g me to asses the radio's performance.",2023-01-20,0,0,39.99,217,10,74,0.4,18.58,42.38
3,3,"Amazon Basics HDMI to DVI Adapter Cable, Bi-Directional 1080p, Gold Plated, Black, 3 Feet, 1-Pack",4.7,81186,1,typical,"broke after 4 months. rather, it simply stopped working just like every other amazon basics cable ive come across",2020-06-02,0,0,8.54,1026,1,19,3.7,3.8,78.75
4,4,"RCA to HDMI, GANA 1080P Mini RCA Composite CVBS AV to HDMI Video Audio Converter Adapter Supporting PAL/NTSC with USB Charge Cable for PC Laptop Xbox PS4 PS3 TV STB VHS VCR Camera DVD (Black)",4.4,18061,5,Ease of Use,Connected up easily between our TV (with HDMI) and our existing DVD player with RCA cables. All that is needed is a AC plug with usb port to provide power to the adapter. A usb power cord comes with the adapter.  HDMI cable (not included) is connected to the TV and the adapter.,2020-01-01,0,0,6.99,1169,3,53,0.6,8.34,74.9
5,5,"Fintie Case for iPad 9.7 2018 2017 / iPad Air 2 / iPad Air 1 - [Corner Protection] Multi-Angle Viewing Folio Cover w/Pocket, Auto Wake/Sleep for iPad 6th / 5th Generation, Ocean Marble",4.6,43430,3,Slips out of grove,The vinyl broke down and the tablet slips out of the groves when vertical.,2022-09-06,0,0,19.99,209,4,14,1.6,8.46,99.57
6,6,"The Bose SoundLink Revolve, the Portable Bluetooth Speaker with 360 Wireless Surround Sound, Lux Gray",4.7,21202,5,Perfect for my home needs,"Its compact speaker with very nice sound and volume. I've bought it in a black color. Materials are good and pleasant to touch. ""360 sound"" technology working very well!Not sure, if it's good for back-pack travelling, cause it's not very light weight.Recommend to buy with charging station :)",2020-01-05,0,0,79.99,1217,5,48,0.3,6.52,80.48
7,7,"Emergency Hand Crank Radio with LED Flashlight for Emergency, AM/FM NOAA Portable Weather Radio with 2000mAh Power Bank Phone Charger, USB Charged & Solar Power for Camping, Emergency",4.5,17230,5,It is pretty AND it works!,I use it where there is no electric plug.,2021-05-23,0,0,35.99,802,6,9,0.5,3.6,104.64
8,8,"Bose Solo 5 TV Soundbar Sound System with Universal Remote Control, Black",4.5,18244,5,"If you are looking for a small sound bar with big sound, this is it!","Mounted under our kitchen TV, great sound bar even though it does not have an external sub.  Remote is awesome, have not tried the universal remote option yet.",2020-04-11,0,0,8.97,1076,15,28,0.5,8.46,74.19
9,9,"Mounting Dream TV Wall Mount Swivel and Tilt for Most 26-55 Inch TV, TV Mount Perfect Center Design, Full Motion TV Mount Bracket with Articulation, up to VESA 400x400mm, 60 lbs, MD2377",4.8,44978,5,Very sturdy,Very sturdy and great quality. Had it for a while and have had no trouble,2021-02-13,0,0,37.99,806,2,15,0.2,5.67,89.24
